Lista_Aleatoria,Lista_80_Ordenada,Lista_Decrescente
57913,90253,99994
20479,96173,99992
13614,13,99970
2685,15,99969
10769,19,99946
91576,45396,99939
61695,45,99908
56481,59711,99906
96287,56050,99876
49048,57,99870
86638,67,99866
48388,75,99854
7456,87,99853
37791,91,99844
43497,94,99841
84727,75627,99824
17885,109,99821
64311,137,99796
2827,159,99772
8406,163,99749
54074,171,99746
19871,185,99742
80210,204,99737
53389,221,99731
40580,224,99712
84864,228,99706
38353,234,99688
23513,240,99679
20598,253,99672
44191,263,99671
90183,65913,99660
33866,285,99646
69445,296,99613
11174,303,99604
17002,305,99602
24853,307,99589
82675,307,99588
16107,320,99575
24143,336,99572
33055,54261,99562
97705,352,99556
28441,371,99554
95641,372,99540
77648,17194,99531
7740,380,99525
14449,398,99502
50012,402,99465
80732,412,99429
34872,422,99374
6982,97911,99373
29781,448,99365
63409,453,99330
22915,460,99309
77557,478,99296
66485,490,99279
83903,492,99276
81367,492,99273
62680,502,99271
34517,503,99254
29370,510,99246
63658,530,99200
8568,560,99196
67544,566,99184
93405,579,99178
36306,579,99160
42589,591,99156
47521,594,99137
82842,623,99127
12350,16247,99118
32405,651,99114
73561,660,99113
6467,691,99110
60917,702,99096
55685,30793,99084
36292,721,99081
56445,731,99075
75066,17903,99068
43276,767,99063
77597,768,99053
90715,771,99043
82472,799,99027
72649,805,99025
35792,45672,99023
18881,826,99009
35768,827,99008
32083,827,99007
91576,3483,98991
46871,51066,98991
85715,856,98987
27236,887,98963
97060,902,98955
19637,945,98951
86263,961,98948
62719,961,98939
93704,963,98936
10865,965,98933
58747,976,98928
40014,991,98923
50030,1018,98914
86717,1024,98896
47648,2249,98887
59320,1050,98887
48289,90649,98883
52347,1063,98867
10759,1086,98833
60568,1092,98820
32534,43769,98804
32689,13916,98801
57872,1120,98794
48324,1122,98787
90994,1133,98779
94294,1165,98766
21470,1175,98759
6229,1185,98758
21477,1186,98753
58755,1197,98741
79108,1202,98708
75688,31643,98693
19038,1230,98687
31233,1235,98685
98104,1244,98668
17432,1252,98668
77079,1255,98654
23642,46872,98624
90784,27115,98615
2026,1288,98598
20204,1298,98596
97242,38340,98594
28092,1318,98583
61976,1319,98577
86614,1321,98570
16320,1323,98569
8987,1335,98567
34492,97799,98552
9594,1392,98542
56807,1395,98538
42467,1423,98520
96170,1439,98510
31457,1440,98493
70097,1441,98467
16477,1441,98456
10891,1453,98453
13945,1487,98453
93817,1493,98441
22555,1510,98422
90248,1519,98394
78165,1530,98357
4877,45460,98352
48757,79803,98348
83405,1540,98322
99969,1543,98318
22939,54452,98304
42699,1561,98300
44883,42198,98296
66102,1570,98293
35986,1572,98267
40812,1577,98266
25183,1579,98243
98303,1591,98241
99470,1600,98216
42355,5515,98154
34240,1625,98143
87728,1630,98142
28928,1630,98142
61229,1632,98133
38918,1652,98129
53744,1656,98125
43856,77161,98123
27033,1661,98122
99110,1668,98119
72995,2814,98106
23578,1673,98099
73201,1700,98091
8902,1701,98084
